filename,SAT,TIME (s),STATUS
10_05_005_100_25_1.GSP,20,0.24,FINISHED
10_05_005_100_50_1.GSP,16,0.24,FINISHED
10_05_005_100_75_1.GSP,23,0.18,FINISHED
10_05_005_125_25_1.GSP,22,0.21,FINISHED
10_05_005_125_50_1.GSP,35,0.21,FINISHED
10_05_005_125_75_1.GSP,37,0.17,FINISHED
10_05_025_100_25_1.GSP,14,0.19,FINISHED
10_05_025_100_50_1.GSP,28,0.16,FINISHED
10_05_025_100_75_1.GSP,34,0.15,FINISHED
10_05_025_125_25_1.GSP,22,0.16,FINISHED
10_05_025_125_50_1.GSP,23,0.19,FINISHED
10_05_025_125_75_1.GSP,27,0.15,FINISHED
10_05_050_100_25_1.GSP,8,0.18,FINISHED
10_05_050_100_50_1.GSP,19,0.17,FINISHED
10_05_050_100_75_1.GSP,18,0.15,FINISHED
10_05_050_125_25_1.GSP,12,0.16,FINISHED
10_05_050_125_50_1.GSP,22,0.13,FINISHED
10_05_050_125_75_1.GSP,18,0.12,FINISHED
10_10_005_100_25_1.GSP,-,0.1,UNSAT
10_10_005_100_50_1.GSP,-,0.1,UNSAT
10_10_005_100_75_1.GSP,-,0.1,UNSAT
10_10_005_125_25_1.GSP,22,0.11,FINISHED
10_10_005_125_50_1.GSP,13,0.12,FINISHED
10_10_005_125_75_1.GSP,20,0.12,FINISHED
10_10_025_100_25_1.GSP,6,0.17,FINISHED
10_10_025_100_50_1.GSP,4,0.11,FINISHED
10_10_025_100_75_1.GSP,15,0.11,FINISHED
10_10_025_125_25_1.GSP,8,0.14,FINISHED
10_10_025_125_50_1.GSP,4,0.12,FINISHED
10_10_025_125_75_1.GSP,9,0.11,FINISHED
10_10_050_100_25_1.GSP,3,0.13,FINISHED
10_10_050_100_50_1.GSP,3,0.12,FINISHED
10_10_050_100_75_1.GSP,9,0.12,FINISHED
10_10_050_125_25_1.GSP,3,0.14,FINISHED
10_10_050_125_50_1.GSP,7,0.13,FINISHED
10_10_050_125_75_1.GSP,0,0.12,FINISHED
20_05_005_100_25_1.GSP,55,0.13,FINISHED
20_05_005_100_50_1.GSP,54,0.12,FINISHED
20_05_005_100_75_1.GSP,63,0.11,FINISHED
20_05_005_125_25_1.GSP,60,0.33,FINISHED
20_05_005_125_50_1.GSP,65,0.13,FINISHED
20_05_005_125_75_1.GSP,83,0.12,FINISHED
20_05_025_100_25_1.GSP,43,0.21,FINISHED
20_05_025_100_50_1.GSP,63,0.16,FINISHED
20_05_025_100_75_1.GSP,83,0.15,FINISHED
20_05_025_125_25_1.GSP,41,0.19,FINISHED
20_05_025_125_50_1.GSP,43,0.15,FINISHED
20_05_025_125_75_1.GSP,45,0.14,FINISHED
20_05_050_100_25_1.GSP,21,0.13,FINISHED
20_05_050_100_50_1.GSP,38,0.13,FINISHED
20_05_050_100_75_1.GSP,49,0.12,FINISHED
20_05_050_125_25_1.GSP,37,0.2,FINISHED
20_05_050_125_50_1.GSP,36,0.16,FINISHED
20_05_050_125_75_1.GSP,55,0.15,FINISHED
20_10_005_100_25_1.GSP,12,0.13,FINISHED
20_10_005_100_50_1.GSP,24,0.13,FINISHED
20_10_005_100_75_1.GSP,42,0.1,FINISHED
20_10_005_125_25_1.GSP,58,0.12,FINISHED
20_10_005_125_50_1.GSP,40,0.12,FINISHED
20_10_005_125_75_1.GSP,45,0.11,FINISHED
20_10_025_100_25_1.GSP,2,0.16,FINISHED
20_10_025_100_50_1.GSP,3,0.14,FINISHED
20_10_025_100_75_1.GSP,4,0.13,FINISHED
20_10_025_125_25_1.GSP,1,0.13,FINISHED
20_10_025_125_50_1.GSP,15,0.12,FINISHED
20_10_025_125_75_1.GSP,30,0.11,FINISHED
20_10_050_100_25_1.GSP,13,0.14,FINISHED
20_10_050_100_50_1.GSP,42,0.14,FINISHED
20_10_050_100_75_1.GSP,27,0.14,FINISHED
20_10_050_125_25_1.GSP,19,0.13,FINISHED
20_10_050_125_50_1.GSP,41,0.11,FINISHED
20_10_050_125_75_1.GSP,47,0.11,FINISHED
30_05_005_100_25_1.GSP,89,5.61,FINISHED
30_05_005_100_50_1.GSP,89,0.59,FINISHED
30_05_005_100_75_1.GSP,94,0.22,FINISHED
30_05_005_125_25_1.GSP,88,17.04,FINISHED
30_05_005_125_50_1.GSP,88,1.26,FINISHED
30_05_005_125_75_1.GSP,92,0.29,FINISHED
30_05_025_100_25_1.GSP,52,1.85,FINISHED
30_05_025_100_50_1.GSP,64,0.26,FINISHED
30_05_025_100_75_1.GSP,77,0.25,FINISHED
30_05_025_125_25_1.GSP,92,179.7,FINISHED
30_05_025_125_50_1.GSP,94,5.14,FINISHED
30_05_025_125_75_1.GSP,112,0.44,FINISHED
30_05_050_100_25_1.GSP,36,0.84,FINISHED
30_05_050_100_50_1.GSP,56,0.32,FINISHED
30_05_050_100_75_1.GSP,63,0.28,FINISHED
30_05_050_125_25_1.GSP,49,0.77,FINISHED
30_05_050_125_50_1.GSP,81,0.8,FINISHED
30_05_050_125_75_1.GSP,86,0.31,FINISHED
30_10_005_100_25_1.GSP,94,0.13,FINISHED
30_10_005_100_50_1.GSP,74,0.14,FINISHED
30_10_005_100_75_1.GSP,112,0.13,FINISHED
30_10_005_125_25_1.GSP,42,0.28,FINISHED
30_10_005_125_50_1.GSP,64,0.19,FINISHED
30_10_005_125_75_1.GSP,75,0.14,FINISHED
30_10_025_100_25_1.GSP,2,0.21,FINISHED
30_10_025_100_50_1.GSP,17,0.18,FINISHED
30_10_025_100_75_1.GSP,32,0.14,FINISHED
30_10_025_125_25_1.GSP,102,0.21,FINISHED
30_10_025_125_50_1.GSP,107,0.19,FINISHED
30_10_025_125_75_1.GSP,109,0.2,FINISHED
30_10_050_100_25_1.GSP,3,0.21,FINISHED
30_10_050_100_50_1.GSP,0,0.23,FINISHED
30_10_050_100_75_1.GSP,1,0.22,FINISHED
30_10_050_125_25_1.GSP,0,0.31,FINISHED
30_10_050_125_50_1.GSP,0,0.25,FINISHED
30_10_050_125_75_1.GSP,9,0.23,FINISHED
40_05_005_100_25_1.GSP,121,300.02,TIMEOUT
40_05_005_100_50_1.GSP,108,0.53,FINISHED
40_05_005_100_75_1.GSP,133,0.53,FINISHED
40_05_005_125_25_1.GSP,88,300.01,TIMEOUT
40_05_005_125_50_1.GSP,114,0.55,FINISHED
40_05_005_125_75_1.GSP,152,1.38,FINISHED
40_05_025_100_25_1.GSP,91,300.02,TIMEOUT
40_05_025_100_50_1.GSP,90,1.69,FINISHED
40_05_025_100_75_1.GSP,100,0.69,FINISHED
40_05_025_125_25_1.GSP,74,300.02,TIMEOUT
40_05_025_125_50_1.GSP,85,1.32,FINISHED
40_05_025_125_75_1.GSP,153,0.69,FINISHED
40_05_050_100_25_1.GSP,58,0.81,FINISHED
